"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",11.282,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",10.175,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",10.138,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",8.229,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",8.174,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",9.14,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.62,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.345,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.497,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.066,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.639,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.689,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.726,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.668,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",33.484,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",32.434,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",27.979,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",26.998,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",27.365,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",27.158,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",24.682,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",23.776,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",24.017,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.865,
